loss,feature_variant,model,dropout,weight_decay,lr,val_pr_auc,best_epoch,test_acc,test_f1,test_pr_auc
ce,pca_16,GCN-2,0.2,0.0,0.0075,0.38733555315783497,100,0.6710097719869706,0.48309129461818034,0.10175754600365242
ce,pca_16,GCN-2,0.3,0.0,0.0075,0.3821336436924775,100,0.6254410966340934,0.4618234721118639,0.1027533311354861
ce,pca_16,GCN-2,0.2,0.0005,0.0075,0.3814083085132828,100,0.6625497647484618,0.4794466333686187,0.10236763116656772
ce,pca_16,GCN-2,0.3,0.0,0.005,0.3800912503694241,100,0.6037595005428882,0.45144372709656455,0.10566351693231578
ce,pca_16,GCN-2,0.3,0.0005,0.005,0.3749543038452903,100,0.5651013391241404,0.43166177533472627,0.11290264743509601
ce,pca_16,GCN-2,0.2,0.0,0.005,0.28468413867879094,7,0.2819851610568223,0.2574870039858543,0.10169739833061099
ce,pca_16,GCN-2,0.2,0.0005,0.005,0.25501778051311463,5,0.25242037640246107,0.23529326296169661,0.09629723003860588
ce,pca_16,GCN-2,0.3,0.0005,0.0075,0.24120023371580412,3,0.28005112196887444,0.2557487700836958,0.10357824364485771
ce,pca_16,SAGE-2,0.2,0.0,0.015,0.5035783411417303,50,0.40505112196887444,0.3434181526472931,0.15032264396497336
ce,pca_16,SAGE-2,0.2,0.0005,0.015,0.5033650717026757,100,0.7397077452044879,0.525394849572966,0.1524699519069303
ce,pca_16,SAGE-2,0.2,0.0005,0.0075,0.5006854469310432,100,0.4169381107491857,0.3528185158571936,0.15100623179580686
ce,pca_16,SAGE-2,0.3,0.0005,0.005,0.5004943685455495,98,0.3329374773796598,0.29582837063034506,0.16119570237310252
ce,pca_16,SAGE-2,0.3,0.0,0.015,0.49977974213252613,92,0.7210120340209917,0.5149923315779104,0.14626777531313379
ce,pca_16,SAGE-2,0.3,0.0,0.005,0.4985398919432157,96,0.32376492942453855,0.2893166235571836,0.15806872724350687
ce,pca_16,SAGE-2,0.2,0.0,0.0075,0.4927016851230801,76,0.32880926529134996,0.2929788879559725,0.14653979058284936
ce,pca_16,SAGE-2,0.3,0.0,0.0075,0.49002370143003515,100,0.4417978646398842,0.36889798846820504,0.13956066217038043
ce,pca_16,SAGE-2,0.2,0.0005,0.005,0.48995608637091137,95,0.35466431415128485,0.3108319138347755,0.1503780738533975
ce,pca_16,SAGE-2,0.3,0.0005,0.015,0.48498225821938246,100,0.5723059174809989,0.4439558434337437,0.1530288554868769
ce,pca_16,SAGE-2,0.3,0.0005,0.0075,0.48404647900263076,100,0.434231360839667,0.36424738456341044,0.1387753609065307
ce,pca_16,SAGE-2,0.2,0.0,0.005,0.33400846938854256,32,0.32145765472312704,0.2872416325487117,0.12930061367414172
ce,pca_24,GCN-2,0.3,0.0,0.0075,0.41121711890989454,97,0.6696864820846905,0.48559093292797934,0.11320889365775194
ce,pca_24,GCN-2,0.2,0.0005,0.0075,0.41006957903487984,95,0.717664223669924,0.5051792982305944,0.10622388032734065
ce,pca_24,GCN-2,0.3,0.0005,0.0075,0.4089535078014437,100,0.6854415490408976,0.49332284565894696,0.10884151120360258
ce,pca_24,GCN-2,0.2,0.0,0.0075,0.40832012620310887,100,0.7425465979008324,0.5180930547707383,0.11473611741842872
ce,pca_24,GCN-2,0.2,0.0005,0.005,0.4081468324168962,96,0.7161147303655447,0.502812323249868,0.111317643689816
ce,pca_24,GCN-2,0.3,0.0005,0.005,0.4062635665355382,100,0.6752963264567499,0.48812362975551016,0.11418247745082111
ce,pca_24,GCN-2,0.3,0.0,0.005,0.4057000148463727,100,0.694014657980456,0.49663111731744003,0.11485085897084052
ce,pca_24,GCN-2,0.2,0.0,0.005,0.36840243972710685,11,0.3508980275063337,0.30713427533149346,0.10983151246497844
ce,pca_24,SAGE-2,0.2,0.0005,0.0045000000000000005,0.5071835257279024,76,0.3873846362649294,0.33319577564476377,0.16138633422273824
ce,pca_24,SAGE-2,0.2,0.0,0.003,0.5068376270145055,66,0.3506831342743395,0.3082756805114673,0.16276082284435758
ce,pca_24,SAGE-2,0.2,0.0,0.0045000000000000005,0.5062812015939488,79,0.4229098805646037,0.35601689986539237,0.15865021685127562
ce,pca_24,SAGE-2,0.3,0.0,0.015,0.506280141064736,46,0.3946683858125226,0.33848531427238104,0.15785724904129042
ce,pca_24,SAGE-2,0.3,0.0005,0.015,0.5006428544061532,47,0.5004297864639884,0.4040919904499389,0.16189666069038314
ce,pca_24,SAGE-2,0.2,0.0005,0.015,0.5004187425154654,24,0.3592110025334781,0.3141966529032363,0.15810613841818139
ce,pca_24,SAGE-2,0.2,0.0,0.015,0.4989239902494428,51,0.4381786102062975,0.3653677692629044,0.158994443981773
ce,pca_24,SAGE-2,0.3,0.0005,0.0045000000000000005,0.4980841413715119,100,0.3600818856315599,0.3148009175179252,0.15979899431109906
ce,pca_24,SAGE-2,0.3,0.0,0.0045000000000000005,0.49516451602646444,62,0.3712789540354687,0.3221591750346027,0.16006245798536622
ce,pca_24,SAGE-2,0.2,0.0005,0.003,0.49407022753229857,80,0.35357853782120885,0.31013355718317753,0.15927652054412442
ce,pca_24,SAGE-2,0.3,0.0005,0.003,0.4939239225058633,99,0.3266829533116178,0.2912241485222852,0.15970891342188057
ce,pca_24,SAGE-2,0.3,0.0,0.003,0.4903814031869947,98,0.39764296055012666,0.3399011152367526,0.15943518216657465
