loss,feature_variant,model,dropout,weight_decay,lr,val_pr_auc,best_epoch,test_acc,test_f1,test_pr_auc
focal,pca_16,GCN-2,0.2,0.0,0.0045000000000000005,0.3911431242200765,99,0.6656261310170105,0.48083005542961943,0.108083799726296
focal,pca_16,GCN-2,0.3,0.0005,0.003,0.37200896959362556,94,0.5057794969236338,0.4018766099650708,0.10435130709390915
focal,pca_16,GCN-2,0.3,0.0,0.0045000000000000005,0.3709448372985707,100,0.522552479189287,0.41079979102075825,0.10551267661134117
focal,pca_16,GCN-2,0.2,0.0,0.003,0.3699267085385987,100,0.4950009048136084,0.39371659257782554,0.09273775660996533
focal,pca_16,GCN-2,0.2,0.0005,0.003,0.3646619847566692,100,0.6666101158161418,0.48293180139251335,0.1135864302315454
focal,pca_16,GCN-2,0.3,0.0005,0.0045000000000000005,0.3646029272609946,100,0.5621267643865364,0.42938097342068476,0.1067805596786475
focal,pca_16,GCN-2,0.3,0.0,0.003,0.3472580248880974,100,0.6132374230908433,0.4558375290477855,0.09993443329908433
focal,pca_16,GCN-2,0.2,0.0005,0.0045000000000000005,0.25590628036253893,9,0.3302230365544698,0.29255858335142426,0.09806277017772559
focal,pca_16,SAGE-2,0.2,0.0,0.015,0.5013123322083337,64,0.5801099348534202,0.4439423367482904,0.14565267866300088
focal,pca_16,SAGE-2,0.3,0.0005,0.015,0.4994509825312484,100,0.5709713174086138,0.4366842683748714,0.14859804450585187
focal,pca_16,SAGE-2,0.2,0.0,0.0075,0.49830525287221444,86,0.5371312884545784,0.4232016009904769,0.15269305102148803
focal,pca_16,SAGE-2,0.3,0.0,0.0075,0.4957406959694929,100,0.39599167571480276,0.3351433057733571,0.14351782398830504
focal,pca_16,SAGE-2,0.3,0.0,0.015,0.49451883078275305,70,0.6130677705392689,0.46038466600031624,0.14318880303128617
focal,pca_16,SAGE-2,0.2,0.0,0.005,0.48685274428277925,96,0.4214169381107492,0.35562454931845616,0.14485388042756825
focal,pca_16,SAGE-2,0.2,0.0005,0.005,0.48678888381996077,87,0.31961409699601884,0.2863634831807306,0.14490275100310152
focal,pca_16,SAGE-2,0.3,0.0005,0.005,0.4854027730055134,100,0.2894951140065147,0.2638709609562283,0.1318750326296565
focal,pca_16,SAGE-2,0.3,0.0005,0.0075,0.4850470794884748,100,0.31857356134636267,0.2855787576648643,0.15495733010215407
focal,pca_16,SAGE-2,0.2,0.0005,0.015,0.4840064990719496,58,0.3077157980456026,0.2777653844153116,0.15045840968875407
focal,pca_16,SAGE-2,0.2,0.0005,0.0075,0.48049256889848047,98,0.5382623054650741,0.4240042202610613,0.1352050609579299
focal,pca_16,SAGE-2,0.3,0.0,0.005,0.27386292592283396,27,0.28013029315960913,0.25632777090412656,0.11340329957011035
focal,pca_24,GCN-2,0.2,0.0,0.0075,0.41807505356750085,93,0.7063314332247557,0.5006965318378105,0.10687112184544029
focal,pca_24,GCN-2,0.2,0.0,0.005,0.4168418465762975,100,0.744005609844372,0.5174286987505088,0.10809285358558628
focal,pca_24,GCN-2,0.2,0.0005,0.0075,0.4154650944996161,86,0.6764160332971408,0.4866812362095573,0.11296565822504812
focal,pca_24,GCN-2,0.2,0.0005,0.005,0.41319484013619723,100,0.6996810532030402,0.4982012026438921,0.10649767886928409
focal,pca_24,GCN-2,0.3,0.0,0.0075,0.4128863082430112,100,0.7003822837495476,0.49975614901493537,0.11681590046431857
focal,pca_24,GCN-2,0.3,0.0005,0.0075,0.4111845601289562,100,0.6627081071299312,0.48057167812404833,0.10364211938101413
focal,pca_24,GCN-2,0.3,0.0005,0.005,0.4058589931070764,98,0.6788250995294969,0.48982354620853474,0.11454461133735265
focal,pca_24,GCN-2,0.3,0.0,0.005,0.3864144302037009,98,0.6251922728917843,0.4641850401590147,0.11405564829699191
focal,pca_24,SAGE-2,0.2,0.0005,0.015,0.5201001833795373,100,0.7426823199420919,0.5279744482648185,0.16064146370907043
focal,pca_24,SAGE-2,0.2,0.0,0.003,0.5180471355428702,91,0.42767146217879115,0.3553135085371069,0.15274185847731345
focal,pca_24,SAGE-2,0.2,0.0005,0.003,0.5165600998207629,99,0.3947814875135722,0.33787213523974,0.16589904396003669
focal,pca_24,SAGE-2,0.2,0.0,0.015,0.5076250900029248,34,0.44032754252623957,0.3674005204869009,0.15115462907136756
focal,pca_24,SAGE-2,0.3,0.0,0.0045000000000000005,0.5052397082150542,78,0.338581252262034,0.29972110431096105,0.16164750696825148
focal,pca_24,SAGE-2,0.3,0.0,0.015,0.5020400407330952,37,0.3238780311255881,0.28928654248161956,0.15461923931607857
focal,pca_24,SAGE-2,0.3,0.0005,0.015,0.4998843986645699,39,0.3292616720955483,0.2930218871207365,0.15633873065518653
focal,pca_24,SAGE-2,0.3,0.0005,0.0045000000000000005,0.49909217294631975,68,0.37190101339124143,0.3212905121251738,0.15495291264170002
focal,pca_24,SAGE-2,0.3,0.0,0.003,0.49838246133994957,96,0.30260360115816143,0.273826064476153,0.1461830138948058
focal,pca_24,SAGE-2,0.2,0.0005,0.0045000000000000005,0.4941423293607784,83,0.3394860658704307,0.2998613592461703,0.15305092327308062
focal,pca_24,SAGE-2,0.3,0.0005,0.003,0.49243227075196105,83,0.34427026782482806,0.3038333913863253,0.1562740917941898
focal,pca_24,SAGE-2,0.2,0.0,0.0045000000000000005,0.48755726528697896,67,0.4420127578718784,0.36677403440149137,0.15440509092440521
