feature_variant,model,best_lr,val_pr_auc,test_acc,test_f1,test_pr_auc,loss
baseline_all,GCN-2,0.003,0.166075450742308,0.704623597538907,0.45637748782646687,0.06384439441100398,ce
baseline_all,SAGE-2,0.005,0.1244865898497442,0.47587540716612375,0.3732540788717702,0.0660769535926797,ce
baseline_all,SAGE-3,0.001,0.12483868686284134,0.5074647122692725,0.3890892445647947,0.06834691708177532,ce
perm_top_10,GCN-2,0.001,0.14028910259832922,0.7698832790445168,0.49283965044998324,0.06054265524438664,ce
perm_top_10,SAGE-2,0.005,0.12464697951210185,0.4301483894317771,0.3490369414513596,0.06558942521443721,ce
perm_top_10,SAGE-3,0.003,0.12840030829639598,0.6664178429243576,0.45369758655232406,0.06719479080585705,ce
perm_top_20,GCN-2,0.005,0.20984878683890668,0.8289789178429243,0.5077807827979078,0.064752551643371,ce
perm_top_20,SAGE-2,0.003,0.13151837098181582,0.4464350343829171,0.3576948038130905,0.0677419882174607,ce
perm_top_20,SAGE-3,0.001,0.12742715010822542,0.438585776330076,0.3534732478094613,0.06512763685271404,ce
pca_16,GCN-2,0.005,0.3764130230882822,0.5436120159247195,0.4207032423641663,0.10952475101224603,ce
pca_16,SAGE-2,0.005,0.485563879897578,0.33457745204487876,0.2969055193233674,0.14664014625421593,ce
pca_16,SAGE-3,0.003,0.47587587635503226,0.2848692544335867,0.2604977718155265,0.14994100884171585,ce
pca_24,GCN-2,0.005,0.40737337096838944,0.6780107672819399,0.4893335853563444,0.11624422081143213,ce
pca_24,SAGE-2,0.003,0.4966858276093197,0.3585776330076004,0.31368041389280465,0.15909203199236757,ce
pca_24,SAGE-3,0.005,0.49684940255279514,0.36824782844733983,0.3202304146634824,0.15865661421011307,ce
