feature_variant,model,best_lr,val_pr_auc,test_acc,test_f1,test_pr_auc,loss
baseline_all,GCN-2,0.001,0.1299965016594945,0.21248416576185306,0.20322151999865273,0.0645402425067971,focal
baseline_all,SAGE-2,0.003,0.12673996169674112,0.5642417661961636,0.414441700336784,0.06717086777608482,focal
baseline_all,SAGE-3,0.005,0.12830720743029533,0.4317091929062613,0.3503214599316555,0.0663839732522858,focal
perm_top_10,GCN-2,0.005,0.133857342203222,0.26494073470865004,0.24544781778553684,0.06533394409926434,focal
perm_top_10,SAGE-2,0.005,0.1312716858991571,0.40757328990228014,0.33636608394788525,0.06705243467265383,focal
perm_top_10,SAGE-3,0.003,0.12223396183358362,0.5013911509229099,0.3847526930418624,0.06658156125688545,focal
perm_top_20,GCN-2,0.005,0.1441954300623476,0.7433496199782845,0.47780044963672075,0.05984530187335811,focal
perm_top_20,SAGE-2,0.001,0.12667415469711935,0.49963807455664133,0.3839117368330372,0.064972601946242,focal
perm_top_20,SAGE-3,0.003,0.12443304978621862,0.5045806188925082,0.38656320197086363,0.06672680743701166,focal
pca_16,GCN-2,0.003,0.3583637641071899,0.45610522982265655,0.3725842698419871,0.10057973105755655,focal
pca_16,SAGE-2,0.005,0.4768564738682751,0.2950597176981542,0.26841977000908496,0.15182547289552367,focal
pca_16,SAGE-3,0.003,0.41131265199091627,0.2593987513572204,0.24096953808342184,0.13699834214702716,focal
pca_24,GCN-2,0.005,0.3978499087998186,0.6245362830256967,0.4644229870246888,0.11102710096561764,focal
pca_24,SAGE-2,0.003,0.5011717905831597,0.3950190010857763,0.3381559892243642,0.1555876396243523,focal
pca_24,SAGE-3,0.005,0.46490629593753036,0.2980456026058632,0.2700408124166642,0.15007498830001642,focal
