time_step,n,pos_rate,pr_auc
40,10416,0.05779569892473118,0.14425993393313669
41,11076,0.05733116648609606,0.15910971574595495
42,13497,0.055567903978661924,0.1539735388975286
43,9504,0.05439814814814815,0.14070735912047913
44,8273,0.05693218904871268,0.1549455919583143
45,9419,0.054145875358318295,0.1587282518236494
46,7139,0.05953214735957417,0.17586202746259003
47,8150,0.056687116564417175,0.15751850472830978
48,6573,0.06100715046401947,0.1364589710566036
49,4369,0.05676356145571069,0.17351037424888252
