epoch,loss,acc,f1,pr_auc
1,100391.2891,0.9243,0.4803,0.0757
2,80832.8516,0.64,0.4103,0.0706
3,66049.0547,0.493,0.3607,0.0669
4,60295.1641,0.2876,0.2686,0.0817
5,59299.793,0.2569,0.2451,0.0816
6,60449.4023,0.2422,0.2331,0.081
7,57084.7305,0.2362,0.2284,0.0817
8,56345.2734,0.2369,0.229,0.0818
9,53291.8359,0.2508,0.2407,0.0829
10,50145.4062,0.3251,0.2989,0.0882
11,46321.582,0.4345,0.3752,0.0982
12,42491.6875,0.7442,0.5643,0.1461
13,41047.7891,0.7878,0.587,0.1497
14,39478.6562,0.8065,0.5956,0.1497
15,39600.5977,0.8155,0.5994,0.1494
16,39328.5703,0.8147,0.5987,0.149
17,38394.3398,0.803,0.5944,0.1503
18,37105.0508,0.7904,0.5865,0.1473
19,35850.6016,0.7715,0.5763,0.1451
20,33410.9883,0.7466,0.5651,0.1455
21,32567.6133,0.7215,0.5523,0.144
22,31480.6914,0.6991,0.5395,0.1405
23,31089.0762,0.6852,0.5315,0.1383
24,30631.3047,0.6792,0.528,0.1372
25,29505.7793,0.6807,0.529,0.1377
26,29668.541,0.6892,0.5343,0.1397
27,28071.9062,0.7009,0.5416,0.1424
28,27502.25,0.7195,0.5533,0.147
29,25970.6465,0.7344,0.5617,0.1491
30,25209.0859,0.7507,0.5685,0.1478
