epoch,loss,acc,f1,pr_auc
1,0.7924,0.0758,0.0704,0.1109
2,0.7613,0.0764,0.0712,0.2042
3,0.6022,0.2648,0.2539,0.206
4,0.6169,0.2163,0.2126,0.2166
5,0.61,0.1445,0.1445,0.2343
6,0.5726,0.2547,0.2454,0.2191
7,0.5527,0.2693,0.2576,0.1958
8,0.5532,0.2704,0.2585,0.1864
9,0.5553,0.2785,0.2651,0.1891
10,0.5499,0.2919,0.2759,0.1986
11,0.5331,0.3188,0.2971,0.2136
12,0.5306,0.3426,0.3154,0.2297
13,0.5234,0.3572,0.3263,0.2413
14,0.5253,0.3667,0.3333,0.247
15,0.5263,0.3734,0.3381,0.2478
16,0.5172,0.3708,0.3361,0.2463
17,0.516,0.3637,0.331,0.2436
18,0.5084,0.3597,0.3279,0.2415
19,0.5087,0.3574,0.3261,0.2412
20,0.508,0.3584,0.3268,0.2444
21,0.5021,0.3613,0.329,0.2503
22,0.503,0.3638,0.3308,0.2577
23,0.5018,0.3717,0.3366,0.2652
24,0.4994,0.3795,0.3424,0.2712
25,0.4994,0.3931,0.3522,0.2753
26,0.4979,0.4059,0.3613,0.2776
27,0.494,0.4173,0.3692,0.2768
28,0.4943,0.4298,0.3778,0.275
29,0.4949,0.4452,0.3884,0.2734
30,0.4903,0.4591,0.3975,0.2727
31,0.4887,0.4847,0.4146,0.2744
32,0.4878,0.5224,0.4389,0.2784
33,0.4907,0.5659,0.4671,0.284
34,0.4851,0.6096,0.4912,0.29
35,0.4873,0.6271,0.5024,0.2949
36,0.4849,0.6471,0.5155,0.2983
37,0.487,0.6625,0.5255,0.3007
38,0.4825,0.6894,0.5439,0.3028
39,0.4821,0.7036,0.5536,0.3044
40,0.481,0.7137,0.5601,0.3054
41,0.4805,0.7228,0.5664,0.3064
42,0.4811,0.7321,0.5731,0.3077
43,0.4799,0.7381,0.5774,0.309
44,0.4784,0.7446,0.5823,0.3104
45,0.4771,0.7495,0.5857,0.3112
46,0.4754,0.7526,0.5879,0.3112
47,0.4757,0.7554,0.5902,0.3106
48,0.475,0.7552,0.5901,0.3091
49,0.4756,0.7545,0.5896,0.3075
50,0.472,0.7565,0.591,0.3074
51,0.4743,0.7616,0.5947,0.3095
52,0.4724,0.7668,0.5987,0.3113
53,0.4724,0.771,0.6021,0.3149
54,0.4706,0.7752,0.6053,0.321
55,0.4693,0.7778,0.6072,0.3206
56,0.4683,0.7823,0.6105,0.3207
57,0.4681,0.7886,0.6156,0.3213
58,0.4668,0.8295,0.6416,0.3215
59,0.4663,0.8415,0.6326,0.322
60,0.4663,0.8444,0.6197,0.3218
61,0.4655,0.8466,0.6213,0.3214
62,0.4646,0.8475,0.6212,0.321
63,0.465,0.8492,0.622,0.321
64,0.4649,0.8527,0.6226,0.3221
65,0.4639,0.855,0.6189,0.3226
66,0.4616,0.8579,0.6198,0.3225
67,0.4631,0.8605,0.6201,0.3221
68,0.4633,0.8629,0.6193,0.3228
69,0.4598,0.8668,0.623,0.3235
70,0.4608,0.8687,0.6273,0.3243
71,0.4612,0.8715,0.6325,0.3276
72,0.4606,0.8725,0.6347,0.33
73,0.4588,0.8716,0.6344,0.3299
74,0.4583,0.8723,0.6415,0.3296
75,0.4575,0.8724,0.6439,0.3291
76,0.4574,0.872,0.6436,0.3289
77,0.4573,0.8723,0.6439,0.3292
78,0.4569,0.8725,0.6441,0.3285
79,0.4553,0.8726,0.6442,0.3262
80,0.4538,0.8729,0.6445,0.3248
81,0.454,0.8729,0.645,0.3243
82,0.4544,0.8734,0.6465,0.3269
83,0.4532,0.8741,0.6476,0.3298
84,0.4535,0.8733,0.647,0.3314
85,0.4522,0.8729,0.6468,0.3311
86,0.4526,0.8708,0.6513,0.3301
87,0.453,0.8702,0.6545,0.3332
88,0.4536,0.8718,0.6628,0.3359
89,0.4525,0.87,0.6607,0.3368
90,0.453,0.8674,0.6629,0.3385
91,0.4504,0.8644,0.6674,0.3435
92,0.4518,0.8677,0.6762,0.3539
93,0.4517,0.8665,0.6762,0.36
94,0.4503,0.8608,0.6707,0.3599
95,0.452,0.8547,0.6669,0.361
96,0.4486,0.8501,0.6631,0.3645
97,0.448,0.846,0.6627,0.3692
98,0.4483,0.8419,0.6587,0.373
99,0.4487,0.8417,0.6585,0.3755
100,0.4495,0.8425,0.6595,0.3792
