feature,gini_importance,rank_gini,cum_importance
first_sent_block,0.05951819933294584,1,0.05951819933294584
fees_as_share_total,0.044101537923141795,2,0.10361973725608764
first_received_block,0.043594207198931464,3,0.14721394445501912
fees_as_share_median,0.03985191208848784,4,0.18706585654350696
blocks_btwn_txs_max,0.036780259511881686,5,0.22384611605538865
fees_as_share_max,0.036161857490613715,6,0.26000797354600236
fees_min,0.03534818736975688,7,0.2953561609157592
first_block_appeared_in,0.035095007387444775,8,0.330451168303204
fees_as_share_mean,0.03408119679060296,9,0.36453236509380693
fees_median,0.03384330847352923,10,0.39837567356733616
total_txs,0.03310487782223235,11,0.43148055138956853
blocks_btwn_txs_total,0.02947480769478714,12,0.4609553590843557
fees_max,0.027312903462143597,13,0.4882682625464993
lifetime_in_blocks,0.027244157623457187,14,0.5155124201699565
blocks_btwn_txs_mean,0.02693037221692356,15,0.54244279238688
fees_mean,0.026736267561759577,16,0.5691790599486396
transacted_w_address_total,0.025508052180773982,17,0.5946871121294136
btc_received_max,0.025384949910339422,18,0.6200720620397531
btc_sent_mean,0.023518079083026236,19,0.6435901411227793
last_block_appeared_in,0.022976085048206155,20,0.6665662261709855
fees_total,0.022093691461125005,21,0.6886599176321105
btc_received_median,0.021025574663746795,22,0.7096854922958573
fees_as_share_min,0.020624063564110798,23,0.7303095558599682
btc_sent_total,0.0203210662386646,24,0.7506306220986327
blocks_btwn_output_txs_total,0.019681750755846494,25,0.7703123728544792
btc_received_mean,0.018813360351307047,26,0.7891257332057863
btc_received_total,0.016243896577802442,27,0.8053696297835887
btc_transacted_mean,0.015350049536617134,28,0.8207196793202058
btc_transacted_min,0.015245711369625659,29,0.8359653906898314
blocks_btwn_output_txs_max,0.015058518083716667,30,0.8510239087735482
btc_transacted_total,0.013841774710038902,31,0.864865683483587
btc_transacted_median,0.01354641933504781,32,0.8784121028186349
btc_sent_max,0.01354623394085905,33,0.891958336759494
num_txs_as receiver,0.011463538270616087,34,0.9034218750301101
blocks_btwn_output_txs_mean,0.011384387571247257,35,0.9148062626013573
btc_transacted_max,0.011024616646022294,36,0.9258308792473796
btc_sent_median,0.010663342403234266,37,0.9364942216506139
btc_sent_min,0.008031648156140657,38,0.9445258698067546
num_timesteps_appeared_in,0.007459553956117728,39,0.9519854237628723
num_txs_as_sender,0.007075181027074842,40,0.9590606047899471
btc_received_min,0.006693119166229308,41,0.9657537239561764
blocks_btwn_txs_median,0.006683457271436476,42,0.9724371812276129
blocks_btwn_txs_min,0.005133676983210348,43,0.9775708582108232
transacted_w_address_mean,0.004803465639941774,44,0.9823743238507651
blocks_btwn_output_txs_median,0.003395258373089785,45,0.9857695822238548
blocks_btwn_input_txs_mean,0.0028698121663525995,46,0.9886393943902074
num_addr_transacted_multiple,0.002848422582117832,47,0.9914878169723252
transacted_w_address_max,0.0018314148240441029,48,0.9933192317963694
blocks_btwn_output_txs_min,0.0018048422690654356,49,0.9951240740654348
blocks_btwn_input_txs_total,0.001733627015830571,50,0.9968577010812654
blocks_btwn_input_txs_max,0.0015016309622776201,51,0.998359332043543
blocks_btwn_input_txs_median,0.0007648745906054001,52,0.9991242066341484
blocks_btwn_input_txs_min,0.0005172574868957591,53,0.9996414641210442
transacted_w_address_median,0.00022493141731467662,54,0.9998663955383589
transacted_w_address_min,0.00013360446164144518,55,1.0000000000000002
