feature,gini_importance,rank_gini,cum_importance,perm_mean,perm_std,rank_perm
blocks_btwn_input_txs_max,0.0015016309622776201,51,0.998359332043543,-1.3574894401902072e-07,2.889024228553374e-07,54
blocks_btwn_input_txs_mean,0.0028698121663525995,46,0.9886393943902074,-1.2106483457952066e-07,1.7028336226125006e-07,53
blocks_btwn_input_txs_median,0.0007648745906054001,52,0.9991242066341484,0.0,0.0,47
blocks_btwn_input_txs_min,0.0005172574868957591,53,0.9996414641210442,0.0,0.0,46
blocks_btwn_input_txs_total,0.001733627015830571,50,0.9968577010812654,-1.6667210944731892e-07,4.1628492345264057e-07,55
blocks_btwn_output_txs_max,0.015058518083716667,30,0.8510239087735482,1.646464033999706e-07,2.1386434776690263e-07,43
blocks_btwn_output_txs_mean,0.011384387571247257,35,0.9148062626013573,1.651518572343136e-07,1.6013173289633903e-07,42
blocks_btwn_output_txs_median,0.003395258373089785,45,0.9857695822238548,-5.980696222707138e-08,5.588157883318327e-08,52
blocks_btwn_output_txs_min,0.0018048422690654356,49,0.9951240740654348,4.554059958028489e-08,6.070676831226862e-08,44
blocks_btwn_output_txs_total,0.019681750755846494,25,0.7703123728544792,2.457305535630283e-06,5.987428482915941e-07,34
blocks_btwn_txs_max,0.036780259511881686,5,0.22384611605538865,4.071229513180619e-06,6.684825533263904e-07,32
blocks_btwn_txs_mean,0.02693037221692356,15,0.54244279238688,4.349711732709593e-06,6.268170985465781e-07,31
blocks_btwn_txs_median,0.006683457271436476,42,0.9724371812276129,1.3375072815291488e-06,1.2942010571582425e-07,38
blocks_btwn_txs_min,0.005133676983210348,43,0.9775708582108232,4.97940094223992e-07,1.7487569958090915e-07,40
blocks_btwn_txs_total,0.02947480769478714,12,0.4609553590843557,2.439099871320849e-06,4.513611410231718e-07,35
btc_received_max,0.025384949910339422,18,0.6200720620397531,6.3600916836659135e-06,2.0812783657811245e-06,26
btc_received_mean,0.018813360351307047,26,0.7891257332057863,5.114463842081918e-06,2.6595747476767792e-06,28
btc_received_median,0.021025574663746795,22,0.7096854922958573,1.4264781536388327e-05,4.416023058491325e-06,15
btc_received_min,0.006693119166229308,41,0.9657537239561764,8.449767668805563e-06,9.213515229605871e-07,21
btc_received_total,0.016243896577802442,27,0.8053696297835887,6.737360175268492e-06,5.693964036982861e-07,25
btc_sent_max,0.01354623394085905,33,0.891958336759494,4.808932276767486e-06,1.6208402545046742e-06,29
btc_sent_mean,0.023518079083026236,19,0.6435901411227793,2.265340207596722e-06,2.1417633672836897e-06,37
btc_sent_median,0.010663342403234266,37,0.9364942216506139,8.193554814761583e-06,2.728622430886936e-06,22
btc_sent_min,0.008031648156140657,38,0.9445258698067546,5.509837869266399e-06,7.517549443671843e-07,27
btc_sent_total,0.0203210662386646,24,0.7506306220986327,4.632145827621059e-06,1.3360850963994145e-06,30
btc_transacted_max,0.011024616646022294,36,0.9258308792473796,9.773812435343033e-06,1.858651783476284e-06,19
btc_transacted_mean,0.015350049536617134,28,0.8207196793202058,8.66536633377102e-06,2.598890092172177e-06,20
btc_transacted_median,0.01354641933504781,32,0.8784121028186349,7.267399957378018e-06,1.2048048511783667e-06,24
btc_transacted_min,0.015245711369625659,29,0.8359653906898314,1.0671755879032573e-05,2.8361861245586535e-06,18
btc_transacted_total,0.013841774710038902,31,0.864865683483587,7.290604523113586e-06,2.6960722063369633e-06,23
fees_as_share_max,0.036161857490613715,6,0.26000797354600236,0.0002531609808280377,2.5430720717020917e-05,5
fees_as_share_mean,0.03408119679060296,9,0.36453236509380693,7.258349488941107e-05,1.1744831659991631e-05,8
fees_as_share_median,0.03985191208848784,4,0.18706585654350696,5.4485165283812974e-05,1.3199056469988442e-05,10
fees_as_share_min,0.020624063564110798,23,0.7303095558599682,3.6229095615780696e-05,4.702972935359462e-06,12
fees_as_share_total,0.044101537923141795,2,0.10361973725608764,0.00013414584264741513,1.7039005514556748e-05,7
fees_max,0.027312903462143597,13,0.4882682625464993,0.0009835060409910446,5.004453753787906e-05,3
fees_mean,0.026736267561759577,16,0.5691790599486396,1.2272440522398398e-05,6.222531824833031e-06,17
fees_median,0.03384330847352923,10,0.39837567356733616,2.658678642106782e-05,1.569615450489346e-05,13
fees_min,0.03534818736975688,7,0.2953561609157592,0.0016684685049034975,0.00016816399284181206,2
fees_total,0.022093691461125005,21,0.6886599176321105,2.3100091595629203e-05,2.430717522480775e-06,14
first_block_appeared_in,0.035095007387444775,8,0.330451168303204,3.9655032492058596e-05,2.6188387264421587e-06,11
first_received_block,0.043594207198931464,3,0.14721394445501912,0.0001640342334222833,4.006010029375226e-05,6
first_sent_block,0.05951819933294584,1,0.05951819933294584,0.00029721423733730656,7.032610093319356e-05,4
last_block_appeared_in,0.022976085048206155,20,0.6665662261709855,5.7735005422254736e-05,1.6552858629788377e-05,9
lifetime_in_blocks,0.027244157623457187,14,0.5155124201699565,2.3163517828272973e-06,4.648435705181135e-07,36
num_addr_transacted_multiple,0.002848422582117832,47,0.9914878169723252,-3.049544139432925e-08,6.003248279708572e-08,50
num_timesteps_appeared_in,0.007459553956117728,39,0.9519854237628723,2.2635873926368787e-07,1.6378073109054605e-07,41
num_txs_as receiver,0.011463538270616087,34,0.9034218750301101,2.5099589640475985e-06,2.0366969286989616e-06,33
num_txs_as_sender,0.007075181027074842,40,0.9590606047899471,1.271451838391613e-06,1.1909104957040747e-06,39
total_txs,0.03310487782223235,11,0.43148055138956853,1.3599793440954855e-05,1.9135072745015815e-06,16
transacted_w_address_max,0.0018314148240441029,48,0.9933192317963694,-3.025878076989841e-08,1.1324982195147196e-07,49
transacted_w_address_mean,0.004803465639941774,44,0.9823743238507651,-3.073960654909058e-08,7.701931274372088e-08,51
transacted_w_address_median,0.00022493141731467662,54,0.9998663955383589,0.0,0.0,48
transacted_w_address_min,0.00013360446164144518,55,1.0000000000000002,3.0129483485907825e-08,3.690269287605905e-08,45
