feature_variant,model,loss,gamma,alpha_pos,val_pr_auc,test_pr_auc,best_epoch,dropout,weight_decay,lr
pca_24,GCN-2,ce,,,0.42383108159261823,0.10316366118488636,100,0.2,0.0,0.0075
pca_24,GCN-2,focal,2.0,0.25,0.41608797365657035,0.1087965106038758,16,0.2,0.0,0.0075
pca_24,GCN-2,focal,1.0,0.25,0.40569298945863375,0.09251797181004001,71,0.2,0.0,0.0075
pca_24,GCN-2,focal,2.0,0.5,0.3764614906758198,0.09286820752288016,29,0.2,0.0,0.0075
pca_24,GCN-2,focal,1.0,0.5,0.3621590492146357,0.10679972049097647,17,0.2,0.0,0.0075
pca_24,GCN-2,focal,3.0,0.5,0.34547563581680785,0.10498884355748772,13,0.2,0.0,0.0075
pca_24,GCN-2,focal,3.0,0.25,0.2982490069163277,0.0997278932203218,46,0.2,0.0,0.0075
pca_24,SAGE-2,ce,,,0.4956949200383576,0.16074934855825748,44,0.2,0.0005,0.015
pca_24,SAGE-2,focal,1.0,0.5,0.5124073761610749,0.1518471973605909,49,0.2,0.0005,0.015
pca_24,SAGE-2,focal,2.0,0.5,0.5108161122637835,0.1472048652309283,73,0.2,0.0005,0.015
pca_24,SAGE-2,focal,3.0,0.5,0.5054277787954321,0.1450678041977772,69,0.2,0.0005,0.015
pca_24,SAGE-2,focal,3.0,0.25,0.4915830237184806,0.12750883734057297,97,0.2,0.0005,0.015
pca_24,SAGE-2,focal,2.0,0.25,0.48541488732366467,0.10625748741194009,95,0.2,0.0005,0.015
pca_24,SAGE-2,focal,1.0,0.25,0.3585862815988278,0.10280480763354012,100,0.2,0.0005,0.015
